DATE,OPEN,HIGH,LOW,CLOSE,SHARES,TRADES
18-12-2019,125.45,125.75,124.20,125.00,209067,1187
17-12-2019,125.60,125.90,124.35,125.45,266724,2451
16-12-2019,126.50,126.90,125.00,125.60,782678,1394
13-12-2019,127.45,127.45,126.05,126.45,196378,1457
12-12-2019,128.00,128.40,125.45,125.85,287588,2231
11-12-2019,125.50,128.40,125.00,128.00,404540,1934
10-12-2019,127.80,128.30,124.85,125.15,300159,2131
09-12-2019,126.95,127.85,125.60,126.35,226933,1345
06-12-2019,129.00,129.00,126.30,126.60,229301,1997
04-12-2019,127.80,130.75,127.00,130.05,368339,2733
03-12-2019,128.50,128.50,126.05,127.40,250974,2163
02-12-2019,133.00,133.00,127.55,128.15,882030,4600
29-11-2019,133.70,133.70,130.55,131.75,384736,2320
28-11-2019,133.45,133.65,131.15,133.20,247529,3961
27-11-2019,130.45,133.10,129.60,132.65,288047,1747
26-11-2019,131.05,133.30,129.30,130.45,278053,2245
25-11-2019,134.00,134.50,130.60,130.90,296169,2177
22-11-2019,132.00,134.65,130.80,133.80,274782,2712
21-11-2019,134.90,135.00,130.65,131.00,383512,2510
20-11-2019,133.00,135.30,132.40,133.65,304212,2705
19-11-2019,135.40,135.40,132.80,133.15,243076,1602
18-11-2019,135.70,136.05,133.30,133.90,175889,1189
15-11-2019,137.50,138.80,135.10,135.55,309696,1845
14-11-2019,138.95,139.25,135.60,136.25,510575,1911
13-11-2019,140.75,140.75,137.65,138.15,207983,1151
11-11-2019,138.00,139.80,136.85,139.25,507862,1664
08-11-2019,142.35,143.50,137.70,138.35,377643,2039
07-11-2019,144.80,144.95,140.45,142.10,540768,1798
06-11-2019,146.35,147.95,143.90,144.80,292403,2554
05-11-2019,148.00,148.75,145.00,146.30,555217,2481
04-11-2019,144.50,149.65,144.30,147.30,480868,2689
01-11-2019,140.85,144.70,140.30,144.10,770413,3931
31-10-2019,142.55,142.55,139.75,141.55,348776,3285
30-10-2019,143.10,143.15,139.85,140.55,264450,2463
29-10-2019,139.60,143.80,138.30,142.10,1236565,5877
27-10-2019,140.00,141.15,139.15,139.95,33617,877
25-10-2019,140.05,141.55,138.15,139.45,236966,4223
24-10-2019,140.10,142.10,139.05,140.70,340478,2851
23-10-2019,144.90,144.90,141.30,141.95,1055381,3093
22-10-2019,143.50,145.95,142.25,144.15,823303,3389
