,timestamp, Close/Last_ACTUAL, Close/Last_FORECAST
768,2017-02-08,132.04,
767,2017-02-09,132.42,
766,2017-02-10,132.12,
765,2017-02-13,133.29,
764,2017-02-14,135.02,
763,2017-02-15,135.51,
762,2017-02-16,135.345,
761,2017-02-17,135.72,
760,2017-02-21,136.7,
759,2017-02-22,137.11,
758,2017-02-23,136.53,
757,2017-02-24,136.66,
756,2017-02-27,136.93,
755,2017-02-28,136.99,
754,2017-03-01,139.79,
753,2017-03-02,138.96,
752,2017-03-03,139.78,
751,2017-03-06,139.34,
750,2017-03-07,139.52,
749,2017-03-08,139.0,
748,2017-03-09,138.68,
747,2017-03-10,139.14,
746,2017-03-13,139.2,
745,2017-03-14,138.99,
744,2017-03-15,140.46,
743,2017-03-16,140.69,
742,2017-03-17,139.99,
741,2017-03-20,141.46,
740,2017-03-21,139.84,
739,2017-03-22,141.42,
738,2017-03-23,140.92,
737,2017-03-24,140.64,
736,2017-03-27,140.88,
735,2017-03-28,143.8,
734,2017-03-29,144.12,
733,2017-03-30,143.93,
732,2017-03-31,143.66,
731,2017-04-03,143.7,
730,2017-04-04,144.77,
729,2017-04-05,144.02,
728,2017-04-06,143.66,
727,2017-04-07,143.34,
726,2017-04-10,143.17,
725,2017-04-11,141.63,
724,2017-04-12,141.8,
723,2017-04-13,141.05,
722,2017-04-17,141.83,
721,2017-04-18,141.2,
720,2017-04-19,140.68,
719,2017-04-20,142.44,
718,2017-04-21,142.27,
717,2017-04-24,143.64,
716,2017-04-25,144.53,
715,2017-04-26,143.68,
714,2017-04-27,143.79,
713,2017-04-28,143.65,
712,2017-05-01,146.58,
711,2017-05-02,147.51,
710,2017-05-03,147.06,
709,2017-05-04,146.53,
708,2017-05-05,148.96,
707,2017-05-08,153.01,
706,2017-05-09,153.99,
705,2017-05-10,153.26,
704,2017-05-11,153.95,
703,2017-05-12,156.1,
702,2017-05-15,155.7,
701,2017-05-16,155.47,
700,2017-05-17,150.25,
699,2017-05-18,152.54,
698,2017-05-19,153.06,
697,2017-05-22,153.99,
696,2017-05-23,153.8,
695,2017-05-24,153.34,
694,2017-05-25,153.87,
693,2017-05-26,153.61,
692,2017-05-30,153.67,
691,2017-05-31,152.76,
690,2017-06-01,153.18,
689,2017-06-02,155.45,
688,2017-06-05,153.93,
687,2017-06-06,154.45,
686,2017-06-07,155.37,
685,2017-06-08,154.99,
684,2017-06-09,148.98,
